Dimension;Threads_num;Elapsed time;Block size.Method;Column1;Bandwidth
80000;8;5.009495;64;parallel;10.22
80000;16;2.291112;64;parallel;22.35
80000;32;1.617859;64;parallel;31.65
80000;64;1.351388;64;parallel;37.89
80000;1;28.052012;80;parallel;1.83
80000;2;13.482402;80;parallel;3.80
80000;4;6.729766;80;parallel;7.61
80000;8;4.172459;80;parallel;12.27
80000;16;2.567997;80;parallel;19.94
80000;32;1.579203;80;parallel;32.42
80000;64;1.449813;80;parallel;35.31
80000;1;26.806523;100;parallel;1.91
80000;2;13.590361;100;parallel;3.77
80000;4;6.925518;100;parallel;7.39
80000;8;5.171336;100;parallel;9.90
80000;16;2.283088;100;parallel;22.43
80000;32;1.629116;100;parallel;31.43
80000;64;1.410981;100;parallel;36.29
80000;1;26.742993;125;parallel;1.91
80000;2;15.127624;125;parallel;3.38
80000;4;7.399141;125;parallel;6.92
80000;8;3.737136;125;parallel;13.70
80000;16;2.195440;125;parallel;23.32
80000;32;1.674881;125;parallel;30.57
80000;64;1.427479;125;parallel;35.87
80000;1;28.499406;128;parallel;1.80
80000;2;17.205529;128;parallel;2.98
80000;4;9.224036;128;parallel;5.55
80000;8;4.090982;128;parallel;12.52
80000;16;2.194463;128;parallel;23.33
80000;32;1.754653;128;parallel;29.18
80000;64;1.582999;128;parallel;32.34
80000;1;27.078916;160;parallel;1.89
80000;2;13.901188;160;parallel;3.68
80000;4;6.915303;160;parallel;7.40
80000;8;3.845176;160;parallel;13.32
80000;16;2.286165;160;parallel;22.40
80000;32;1.847168;160;parallel;27.72
80000;64;1.455219;160;parallel;35.18
80000;1;25.489561;200;parallel;2.01
80000;2;13.234575;200;parallel;3.87
80000;4;7.165992;200;parallel;7.14
80000;8;3.509060;200;parallel;14.59
80000;16;2.444056;200;parallel;20.95
80000;32;1.782542;200;parallel;28.72
80000;64;1.131100;200;parallel;45.27
80000;1;26.440076;250;parallel;1.94
80000;2;13.427979;250;parallel;3.81
80000;4;8.659209;250;parallel;5.91
80000;8;3.467006;250;parallel;14.77
80000;16;2.199147;250;parallel;23.28
80000;32;1.624122;250;parallel;31.52
80000;64;1.112613;250;parallel;46.02
